target,model_family,task,n_train,n_validation,MAE,RMSE,params,selection_metric,direction_accuracy,balanced_accuracy
GLD_ret,elasticnet,regression,36,24,0.00804814814814815,0.010100056533272903,"{""model__alpha"": 0.005, ""model__l1_ratio"": 0.8, ""model__max_iter"": 5000}",MAE,,
GLD_ret,hgbdt,regression,36,24,0.007602582064526353,0.009868045889148329,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}",MAE,,
GLD_ret,lasso,regression,36,24,0.00804814814814815,0.010100056533272903,"{""model__alpha"": 0.005, ""model__max_iter"": 5000}",MAE,,
GLD_ret,ridge,regression,36,24,0.014021938060979539,0.015995916613723658,"{""model__alpha"": 20.0}",MAE,,
GLD_ret,xgboost,regression,36,24,0.007968735517254875,0.010022509667878363,"{""model__colsample_bytree"": 0.7, ""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_child_weight"": 1, ""model__n_estimators"": 30, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",MAE,,
QQQ_ret,elasticnet,regression,44,30,0.013431624519833922,0.016497554432994537,"{""model__alpha"": 0.005, ""model__l1_ratio"": 0.8, ""model__max_iter"": 5000}",MAE,,
QQQ_ret,hgbdt,regression,44,30,0.01443483043655598,0.01728662690603539,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}",MAE,,
QQQ_ret,lasso,regression,44,30,0.012169999999999997,0.015425190436425736,"{""model__alpha"": 0.01, ""model__max_iter"": 5000}",MAE,,
QQQ_ret,ridge,regression,44,30,0.05192084614859111,0.07423670105721777,"{""model__alpha"": 20.0}",MAE,,
QQQ_ret,xgboost,regression,44,30,0.009872955075163236,0.013358682750132272,"{""model__colsample_bytree"": 0.7, ""model__learning_rate"": 0.06, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 80, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}",MAE,,
SPY_ret,elasticnet,regression,44,30,0.009548801900327867,0.01302863573137579,"{""model__alpha"": 0.005, ""model__l1_ratio"": 0.8, ""model__max_iter"": 5000}",MAE,,
SPY_ret,hgbdt,regression,44,30,0.009445048430469128,0.013110912206859142,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 5}",MAE,,
SPY_ret,lasso,regression,44,30,0.009489848484848485,0.01299525690915675,"{""model__alpha"": 0.005, ""model__max_iter"": 5000}",MAE,,
SPY_ret,ridge,regression,44,30,0.01366075432924126,0.020075145216852698,"{""model__alpha"": 20.0}",MAE,,
