target,model_family,task,n_train,n_validation,direction_accuracy,balanced_accuracy,params
SPY_ret,ridge,classification,44,30,0.5,0.5,"{""model__C"": 0.05}"
SPY_ret,ridge,classification,44,30,0.5,0.5,"{""model__C"": 0.1}"
SPY_ret,ridge,classification,44,30,0.5,0.5,"{""model__C"": 0.5}"
SPY_ret,ridge,classification,44,30,0.5,0.5,"{""model__C"": 1.0}"
SPY_ret,ridge,classification,44,30,0.5,0.5,"{""model__C"": 2.0}"
SPY_ret,lasso,classification,44,30,0.5,0.5,"{""model__C"": 0.05}"
SPY_ret,lasso,classification,44,30,0.5,0.5,"{""model__C"": 0.1}"
SPY_ret,lasso,classification,44,30,0.5,0.5,"{""model__C"": 0.5}"
SPY_ret,lasso,classification,44,30,0.5,0.5,"{""model__C"": 1.0}"
SPY_ret,lasso,classification,44,30,0.5,0.5,"{""model__C"": 2.0}"
SPY_ret,elasticnet,classification,44,30,0.4666666666666667,0.4666666666666667,"{""model__C"": 0.05, ""model__l1_ratio"": 0.2, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.05, ""model__l1_ratio"": 0.5, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.05, ""model__l1_ratio"": 0.8, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.1, ""model__l1_ratio"": 0.2, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.1, ""model__l1_ratio"": 0.5, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.1, ""model__l1_ratio"": 0.8, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.5, ""model__l1_ratio"": 0.2, ""model__max_iter"": 3000}"
SPY_ret,elasticnet,classification,44,30,0.5,0.5,"{""model__C"": 0.5, ""model__l1_ratio"": 0.5, ""model__max_iter"": 3000}"
